area_name,Less_Than_$20000,$20000_to_$39999,$40000_to_$59999,$60000_to_$79999,$80000_to_$99999,$100000_And_Over,Total
West End,870,1235,1115,895,530,1195,5855
West Point Grey,1920,940,670,540,410,1525,6010
Marpole,1620,1985,1810,1290,845,2420,9970
Kerrisdale,3220,3425,2970,2520,2085,10435,24665
Hastings-Sunrise,8850,6825,5585,4450,3300,8920,37930
Downtown,8525,6915,6660,5760,4735,13540,46135
Oakridge,3030,3530,4015,3800,2855,9175,26395
Killarney,5960,9180,8520,7325,5905,15990,52880
Mount Pleasant,4905,6520,6570,5805,4435,13235,41475
Sunset,1645,1900,1990,1485,985,1545,9555
Kitsilano,3865,4045,4250,3635,3035,10810,29640
Dunbar-Southlands,3220,3425,2970,2520,2085,10435,24665
Renfrew-Collingwood,4010,4260,3685,2970,1935,4465,21325
Victoria-Fraserview,3750,4230,4080,3525,2910,8185,26690
Kensington-Cedar Cottage,5755,6550,6450,5830,4665,14930,44185
Arbutus-Ridge,1620,1985,1810,1290,845,2420,9970
Fairview,3030,3530,4015,3800,2855,9175,26395
Grandview-Woodland,5960,9180,8520,7325,5905,15990,52880
Riley Park,4905,6520,6570,5805,4435,13235,41475
Shaughnessy,3220,3425,2970,2520,2085,10435,24665
South Cambie,3030,3530,4015,3800,2855,9175,26395
